Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12412311,20779957,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,39835428
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666
"Population, total",SP.POP.TOTL,Algeria,DZA,25758872,31042238,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,44616626
"Population, total",SP.POP.TOTL,American Samoa,ASM,47351,57816,55669,55717,55791,55806,55739,55617,55461,55312,55197,55103
"Population, total",SP.POP.TOTL,Andorra,AND,54508,65390,82427,80770,79213,77993,77295,76997,77008,77146,77265,77354
"Population, total",SP.POP.TOTL,Angola,AGO,11848385,16395477,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,33933611
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,62533,76007,90407,91510,92562,93571,94520,95425,96282,97115,97928,98728
"Population, total",SP.POP.TOTL,Argentina,ARG,32618648,36870796,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747
"Population, total",SP.POP.TOTL,Armenia,ARM,3538164,3069597,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,2968128
"Population, total",SP.POP.TOTL,Aruba,ABW,62152,90866,102565,103165,103776,104339,104865,105361,105846,106310,106766,107195
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,25739256
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8956279
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7175200,8048600,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10145212
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256227,298045,363581,367162,370625,374200,377923,381749,385635,389486,393248,396914
"Population, total",SP.POP.TOTL,Bahrain,BHR,495927,664610,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,1748295
"Population, total",SP.POP.TOTL,Bangladesh,BGD,103171957,127657862,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,166303494
"Population, total",SP.POP.TOTL,Barbados,BRB,260933,271511,283698,284294,284825,285327,285798,286229,286640,287021,287371,287708
"Population, total",SP.POP.TOTL,Belarus,BLR,10189348,9979610,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,11587882
"Population, total",SP.POP.TOTL,Belize,BLZ,187554,247310,338001,345707,353366,360926,368399,375775,383071,390351,397621,404915
"Population, total",SP.POP.TOTL,Benin,BEN,4978489,6865946,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867
"Population, total",SP.POP.TOTL,Bhutan,BTN,530801,591014,701582,710235,719053,727885,736706,745563,754396,763094,771612,779900
"Population, total",SP.POP.TOTL,Bolivia,BOL,6864839,8418270,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,11832936
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463422,3751176,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,3263459
"Population, total",SP.POP.TOTL,Botswana,BWA,1286756,1643333,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,2397240
"Population, total",SP.POP.TOTL,Brazil,BRA,149003225,174790339,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,213993441
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,17489,20313,28654,28850,28985,29148,29355,29567,29795,30033,30237,30423
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,258714,333166,398997,404414,409778,414914,419791,424481,428960,433296,437483,441532
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6899125
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811033,11607951,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,21497097
"Population, total",SP.POP.TOTL,Burundi,BDI,5438959,6378871,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,12255429
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,337953,428178,505241,511740,518276,524740,531140,537499,543764,549936,555988,561901
"Population, total",SP.POP.TOTL,Cambodia,KHM,8975597,12155241,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971,16946446
"Population, total",SP.POP.TOTL,Cameroon,CMR,11780086,15513944,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864,27224262
"Population, total",SP.POP.TOTL,Canada,CAN,27691138,30685730,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,38246108
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25307,42305,58963,59933,60848,61721,62564,63382,64172,64948,65720,66498
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2806740,3640421,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764,4919987
"Population, total",SP.POP.TOTL,Chad,TCD,5963250,8355654,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859,16914985
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140677,148439,162051,163039,164107,165387,166922,168666,170496,172264,173859,175244
"Population, total",SP.POP.TOTL,Chile,CHL,13274617,15342350,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,19212362
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000
"Population, total",SP.POP.TOTL,Colombia,COL,33102569,39629965,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,51265841
"Population, total",SP.POP.TOTL,Comoros,COM,411598,542358,723865,741511,759390,777435,795597,813890,832322,850891,869595,888456
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,34612023,47105830,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404,92377986
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,2356740,3127420,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092,5657017
